generated,reference,highlight
"

""The president made good on a promise during the campaign to take a tough fight against tax breaks and regulations that allow companies to keep more of their American workforce, and we won't let that continue,"" White House Press Secretary Robert Gibbs said Thursday.

Boehner conceded his staff will continue to work with the president to address the situation.

""I will continue to work with them and provide them with the resources they need to deal with this issue and we will handle the situation in a bipartisan manner,"" Boehner said.

Obama's plan calls for a spending bill that would allow the government to borrow money for new"," -- With more than a dozen lawmakers absent due to travel delays caused by bad weather, the U.S. Senate postponed until Tuesday a key procedural vote on a politically charged proposal to extend long-term unemployment insurance affecting some 1.3 million Americans.

Senate Majority Leader Harry Reid received unanimous approval for a postponement from both parties just before the chamber was scheduled to hold the test vote on the first partisan showdown of the new year on Monday evening.

Backers of the bill to extend long-term unemployment benefits were nearing the 60 votes they need to clear the procedural vote.

Four Republicans said Monday they will join the",NEW: Vote is postponed with 17 Senators not present; rescheduled for 10:30 a.m. Tuesday. Unemployment insurance is first partisan showdown in Congress for 2014. Republicans won't support measure without cuts elsewhere to offset the cost. Democrats are pushing the three-month package; President Obama supports it.
"

The rupture in relations came after the clash between Iran and Saudi Arabian King Abdullah II, in which Saudi King Abdullah called on Iranians not to return to their homes, and on Sunday it was reported that Saudi King Abdullah II had ordered a series of high-level meetings with his American counterpart, the head of the CIA, and his national security adviser, Michael Hayden.

But the situation is far from over.

In a statement released Sunday, Iranian Foreign Minister Ahmadi Jafari insisted that ""relations between the two countries are not in question and have been under negotiation"" and his country ""will not take steps that"," -- Iran said Saturday that Morocco's decision to cut diplomatic ties between the two countries harms Muslim unity, state media reported.

Iranian Foreign Minister Manouchehr Mottaki says soldiarity in Islamic world needed to support Palestinians.

""The Islamic Republic of Iran believes that at the present juncture when the unity and solidarity of Islamic countries is necessary for supporting the Palestinian people, this act of Morocco harms unity of the Muslim world,"" Iran's Foreign Ministry said in a written statement, the semi-official Fars News Agency reported.

Morocco decided to cut diplomatic ties with Iran Friday, blaming Tehran's","Morocco cut diplomatic ties with Iran on Friday because of ""inadmissible attitude"". The move ratchets up feud between Sunni Morocco and Shiite Iran. Rift related to Iran's reaction to Morocco's statement of solidarity with Bahrain. Sunni-ruled Bahrain has become point of contention between Morocco and Iran."
"

The couple and a woman named Ryan Reynolds, 24, were indicted on charges of unlawful imprisonment and child neglect.

Mercier is the same North Carolina resident who is being indicted on charges that he sexually assaulted a boy and sexually molested other children.

Mercier is accused of having three other boys sexually abusing and sexually abusing other children while in his family's home in May 2009.

Mercier is accused of having one child sexually abusing and sexually abusing another child while in his family's home in May 2009.

Mercier is accused of having one child sexually abusing and sexually abusing another child while in his"," -- A court has ordered pop singer Britney Spears to give up custody of her children effective Wednesday at noon.

Kevin Federline and Britney Spears, here during happier times, have two children.

Spears' former husband, Kevin Federline, is to retain custody of their two sons ""until further order of the court,"" according to a ruling by Superior Court Judge Scott Gordon.

It was not clear what led to Monday's decision awarding Federline full custody. A transcript of the court proceedings was ordered sealed.

Last month, a judge ordered Spears, 25, to submit to random drug tests after finding","Kevin Federline to take custody of children effective Wednesday noon. Federline and Britney Spears have two children, ages 2 and 1. Pair were divorced in July."
"

Thomas Eric Duncan has become the focus of national attention, with hundreds of volunteers becoming part of the recovery effort.

""I can't say 40,000 people have seen him, but I miss him,"" said Thomas Eric Duncan, a father and grandfather. ""We miss him for all the good that he did.""

Thomas Eric Duncan has become the focus of national attention, with hundreds of volunteers becoming part of the recovery effort.

Information from Travel + Leisure:

• Inpatient isolation for Thomas Eric Duncan

• Thomas Eric Duncan's story

• Thomas Eric Duncan's family

•","The Ebola news keeps pouring in.

Two nurses who treated the first person diagnosed with Ebola in the United States are in isolation.

A nursing assistant in Spain who contracted the disease has been declared free of the virus.

Health officials have cleared many of the people who came in contact with Texas patient Thomas Eric Duncan after monitoring their temperatures for 21 days.

As these facts and more are revealed, here's what you need to know about the deadly virus and what's being done to stop its spread:

What are the symptoms of Ebola?

Symptoms include fever, severe headache, muscle pain, weakness",Two nurses who treated Thomas Eric Duncan are in isolation. A nursing assistant in Spain has been declared free of the virus. Health officials have cleared some of Duncan's contacts.
"

Outspoken and often crude, Weiner has spent much of the past year admitting to sexually assaulting women. He has never been caught. But he is one of the most infamous figures in the world, and his public record has earned him the nickname ""Ruby"" by critics.

Outspoken Weiner is one of the most famous figures in the world. He is a former neighborhood watch volunteer, neighborhood watch volunteer, and resident of the neighborhood. He has served two terms in Congress, becoming the first member of Congress to be nominated for re-election and becoming the first person in U.S. history to be elected to a second"," -- Sexting politician Anthony Weiner's wife may love him, forgive him and believe in him. But if a sampling of public sentiment Wednesday morning is any indication, the rest of New York doesn't seem to be so sure the former congressman should continue his quest to become the city's next mayor.

""Wow, this guy is such a ... I don't want to use any bad words,"" New Yorker Eric Patel said Wednesday. ""But how can you repeatedly do this thing, and he has no shame. And he's like, 'Oh, I'm still running for mayor after all this.'""

Weiner said Tuesday",The latest sexting revelations make Weiner the focus of ridicule for many. Criticism on social media overwhelms the voices of remaining supporters. Weiner acknowledges sending explicit texts after resigning from Congress in 2011. He says he will stay in the mayoral race with his wife's backing.
"

Students on board the Harvard Crimson say it didn't show up on campus and its staff didn't ""adequately address the situation.""

Students in Harvard's Harvard Crimson staff say it didn't show up on campus and its staff didn't ""adequately address the situation.""

Students in Harvard's Harvard Mercado story staff say it didn't show up on campus and its staff didn't ""adequately address the situation.""

Students in Harvard's Harvard Crimson story staff say it wasn't shown on campus and its staff didn't ""amazement at the school's nomadic activities"" and its staff didn't """," -- A cheating scandal at Harvard College just got bigger, and this time the focus is flipped: Administrators, not students, are under fire.

On Monday, the school apologized for the way it handled a secret search of the e-mail accounts of resident deans. It conducted the search in an effort to find who leaked information about the scandal to the media last year.

""While the specific document made public may be deemed by some as not particularly consequential, the disclosure of the document and nearly word-for-word disclosure of a confidential board conversation led to concerns that other information -- especially student information we have a duty",Harvard searches the administrative accounts of resident deans. College says it was looking for the source of a leak amid a cheating scandal. News of the search draws immediate criticism from some members of Harvard's faculty.
"

""It's a big problem for the sport. They need to learn to be more consistent and get better, and it's what you need to do,"" he told reporters.

Federer is fourth on the U.S. rankings, finishing with a 0.874 on the PGA Tour's hard-court rankings.

The Californian is expected to clinch his first major title in his career when he participates at the Country Club Tournament in Birmingham, Alabama, on Sunday.

""I love the Tournament and trying to give it everything I could to be at the top of the rankings, but it won"," -- New champions, multiple first-time finalists, big names battling to regain glories -- this has been arguably the most unpredictable tennis season in over 15 years.

And there could be more surprises to come. The four grand slams are done and dusted, but places at the year-end championships are still up for grabs for both the men and women.

But before we move on to the final leg of the season, it's time to look back at the sport's biggest tournaments and draw some conclusions.

Here are five of them.

Maria is becoming a clay-court specialist

Let's clarify","Tennis' grand slams came to an end this year when Marin Cilic won the U.S. Open. First time in a season since 2003 two players outside men's ""Big Four"" won a major. But injuries may have played a part, especially for Spain's Rafael Nadal. Maria Sharapova prospered on the clay in Paris but struggled elsewhere at majors."
"

""He's a casualty of the Bush administration and the Bush administration has been a constant threat to the national security,"" said CNN Pollster Keating Holland. ""But he's not the enemy, and he's not the enemy is his government.""

Iraqi forces have been battered by roadside bombs and roadside bombs raining bullets on their positions.

The U.S. forces withdrew against the recommendation of the Iraqi government, in line with a recommendation by U.S. command that the coalition withdraw by the end of 2009.

The coalition, spearheaded by the United States, and its allies, the United States and"," -- Laith repeats my question back to me, chuckling. ""What is the Iraqi media saying about the US elections?"" He pauses, thinking how best to answer. ""Man, the situation is so bad now, we only pay attention to staying alive."" He laughs again.

An Iraqi journalist who works for several international news organizations, Laith tells me that he only narrowly escaped being killed by a car bomb the previous day.

""If I had been a few minutes late for work, you wouldn't be able to talk to me."" Laith chuckles again like so many people do in Baghdad, a resilient,","U.S. troops withdrew last year, but the violence continues in Baghdad. Republican party still seen as the party of George W. Bush by many in Baghdad. Many who follow the election see little difference between Democrats, Republicans."
"

The photo is of Noël Meinuty, the same woman who appeared in the TV commercial for the nude photo case.

""Myanmar is losing its democratic and democratic rule, I hope that these photos will give the people hope,"" Meinuty, who is Malaysian, told a media conference.

If the photo is true, Meinuty said, ""this will be a big blow to the country's legacy.""

And Meinuty said the government will work to find ""a solution that will allow these photos to be taken.""

""I am looking for a good way to have","  -- The federal government has released to CNN more than 100 photographs of a Halloween party that temporarily threatened to derail the nomination of a top Department of Homeland Security official.

ICE chief Julie Myers poses with a costume contest winner at the Immigration and Customs Enforcement party.

The images included several digital photos that the official had ordered erased because they were deemed to be inappropriate and offensive.

At the party, Julie Myers, then-acting chief of Immigration and Customs Enforcement (ICE), part of the Department of Homeland Security, gave an award for ""most original costume"" to an employee wearing prison stripes, a wig with dreadlocks and","Partygoer used make-up to darken skin, went as escaped prisoner. Acting Immigration chief judged costume contest. Congress told photos destroyed before Julie Myers' confirmation hearings. CNN got photos through Freedom of Information Act request."
"

The auction house auctioned the two-story building for $8.8 million.

Yingluck's fortune is estimated to be worth $8.5 million.

His fortune will be divided into two categories: cash and cashier's fees.

Lottery officials estimated the auction for the two-floor building at $8 million. They estimated the auction to be worth about $8 million.

Auctioneers estimated the monthly prize at about $50,000.

Auctioneers estimated the prize at about $50,000.

The two-story building was originally designed by"," -- Get in line, have your money ready and move to your extreme left -- Al Yeganeh, ""the Original SoupMan,"" is back. He reopened his famed soup store Tuesday in midtown Manhattan.

Yeganeh and his Soup Kitchen International first rose to fame after he was caricatured in the long-running NBC-TV show ""Seinfeld"" as the ""Soup Nazi,"" a cranky and demanding soup-stand cook who bellowed ""No soup for you!"" to customers who didn't follow his strict rules for ordering.

Yeganeh, who first opened his shop in 1984, closed the","Soup Kitchen International reopened Tuesday. Al Yeganeh was made famous in an episode of ""Seinfeld"". His midtown Manhattan store had been closed for 6 years. Yeganeh is expected to make sporadic appearances at the store."
"

""I know there are a lot of Republicans who criticize Harry Reid for running the Senate like a plantation,"" Cruz said. ""So I apologize to him for that.""

Cruz appeared to criticize Perry's comments.

""I think it's outrageous that you would criticize someone who was so good at his job when you're starting out,"" Cruz said. ""So I'm sorry very much.""

Cruz suggested he might call on Perry to apologize to him.

""I'm calling for, if I could -- if I could just sort of put my hands up and say, 'This is serious,' and I"," -- Rep. Bill Cassidy, the Republican congressman running for the U.S. Senate in Louisiana, is taking heat from the left and the right after he said Senate Majority Leader Harry Reid ""runs the Senate like a plantation.""

Reid, asked Tuesday by reporters about the comment, demanded an apology.

""With all the things going on in America today, that's fairly insensitive,"" Reid told reporters on Capitol Hill. ""That's really insensitive. Very insensitive. If there was ever a statement that deserves an apology, this is it big time. Has he been taking lessons from Donald Sterling? Where did he get this?""","Senate candidate Bill Cassidy criticizes Harry Reid for running ""the Senate like a plantation."". Cassidy attacked from left and right for comment, which Reid called ""very insensitive"". Cassidy's tea party opponent calls for an apology."
" Concerned residents crowded the site for hours Tuesday.

On Wednesday, a wildfire near Denver, about 75 miles west of Denver, shut down traffic in the area. Concerned residents packed the area for more than a mile to find their loved ones, but authorities did not find anyone inside the fire. Concerned residents urged evacuations to stay in place. Concerned residents in other areas evacuated to area hospitals. Concerned residents urged residents to stay in place.

On Friday, firefighters cleared the fire area after a wildfire at Fort Collins, Colorado. Concerned residents were allowed to stay in the area through the night. Concerned"," -- An employee of a subcontractor laying fiber optic cable hit a 2-inch gas line with an underground boring machine about an hour before an explosion killed one person at a popular restaurant in Kansas City, Missouri.

Fire Chief Paul Berardi told reporters the subcontractor, Heartland Midwest, called 911 at 4:55 p.m. CT to report the accident.

Authorities do not know what caused the leaking gas to ignite, according to Rob Hack, chief operating officer of Missouri Gas Energy.

""But all the damaged points to ignition inside the restaurant,"" he said.

One body was pulled Wednesday from the",NEW: Gas company workers detected high levels in the air before asking people to leave. Search for bodies called off as accident investigators move in. The natural gas explosion leveled popular restaurant about 6 p.m. CT Tuesday. Worker describes being trapped near flames to CNN affiliate.
"

Greater Manchester United v Australia

1. Australia (26-3) vs. Australia (3-6)

Australia (15-8) vs. South Korea

Australia (17-8) vs. Brazil

Australia (19-8) vs. Brazil

Australia (20-8) vs. Brazil

Australia (24-1) vs. Brazil

Australia (26-0) vs. Brazil

Australia (26-3)  Mote Makoa v Nigeria

1. Nigeria (3-6) vs. Nigeria (3-6)

","Tahiti were handed a harsh introduction to the Confederations Cup as African champions Nigeria inflicted a 6-1 defeat on the minnows Monday.

But the team from the South Pacific at least had the consolation of scoring a memorable first goal in a senior FIFA competition to the delight of the crowd in the Estadio Mineirao in Belo Horizonte.

Trailing 3-0 in the 54th minute, a corner was met by Jonathan Tehau, who headed home emphatically.

It was no more than Tahiti deserved for a spirited display and they celebrated in trademark style by forming a circle and",Nigeria beat Tahiti 6-1 in Group B opener at Confederations Cup. Nnamdi Oduamadi scores a hat-rick in Belo Horizonte. 138th-ranked Tahiti reply through Jonathan Tehau. South Pacific minnows next play world champions Spain in Maracana.
"

In a separate incident in January, a roadside bomb was tossed by riot police at the entrance to the Zine region of Timbiquete, prompting a state-run TV station to announce that it had ""armed"" the area and that it was setting fire to its perimeter.

Yet the events have come at a time when France and other countries are tightening their security budgets in an effort to curb the growing Islamist extremism.

In the past month, the French government has sought to beef up its intelligence and counter-terrorism forces by criminalizing activities opposed to terrorism and by criminalizing acts against the state, including terrorism"," -- At least three people have been killed and 300 others injured in riots that erupted across Algeria amid rising food prices and a housing crisis, according to state-run media.

The protests began last week over spiraling costs of basic food items, including milk, oil and sugar. Some staples are subsidized by the government.

To curb the escalating prices of sugar and oil, the government slashed duties for sugar and oil by 41%, Algerie Press Service reported Sunday. The suspension and exemption from customs duties and taxes until August 31, according to APS.

Meanwhile, the government reports a third person has died from the riot",State-run media: The Algerian government reduces duties on sugar and oil. Interior minister: A person is found in a hotel set on fire by rioters. Protests erupted last week amid rising food prices. Similar protests have taken place in neighboring Tunisia.
"

Al-Obeidy was indicted by the International Criminal Court last month and indicted by a French court.

She is also wanted in connection with the September attack by gunmen in the upscale Tunis neighborhood of Toulouse, a popular destination for tourists and tourists to the Middle East and North Africa.

Al-Obeidy is accused of setting off a series of car bombs outside the home of the self-described ""man of God."" She is wanted in connection with the Concorde bombing in June in which more than 100 people were killed. She is also wanted in connection with the suicide bombing in December of a nightclub"," -- The father of the woman who was dragged away by officials loyal to Libyan leader Moammar Gadhafi after telling journalists that some of his troops had beaten and raped her said Monday that his daughter is in Qatar.

Eman al-Obeidy, who garnered worldwide attention for her vocal allegations against Gadhafi's regime, had told CNN she fled Libya, fearing for her safety.

Her father declined to provide further details about her whereabouts, but said he spoke to her Monday and she told him she is in Qatar.

Al-Obeidy told CNN in a previous interview that she crossed into Tunisia","Eman al-Obeidy accused Libyan security forces of rape in March. She crossed into Tunisia on Thursday, she tells CNN. She is hoping for protection from a Western government. Her father says she is now in Qatar, declining to provide more detail."
"

View all the highlights of the Pakistani game show

The show is part of the well-known ""Kashmir Show"" and is part of Pakistan's ""Najib-e-Islami Show."" According to the Pakistani version, the show was broadcast on October 1.

A phased-out Pakistani version was broadcast in February 2008.

The Show is based on the Chronicle of the Prophet, the annual religious celebration of the Prophet Mohammed, in Mumbai, India, and centers on the Prophet's visit to the country in June 2008 to renew his peace in the region.

The Show is now in"," -- Plumbing new depths in the battle for television ratings, abandoned babies are being given away on a controversial prime-time game show in Pakistan.

TV host Aamir Liaquat Hussain presented baby girls to two unsuspecting couples during his show, which is broadcast live for seven hours a day during the month of Ramadan.

""I was really shocked at first. I couldn't believe we were being given this baby girl,"" said Suriya Bilqees, now a mother of a two-week old. ""I was extremely happy.""

Another baby, a boy, is due to be given to another couple at",Pakistani game show gives away unwanted babies. Childless parents received baby girls during live broadcasts. Critics say it's a publicity stunt to win Ramadan ratings battle. Another newborn due to be given away in coming days.
"

Outrage has been stoked by China's strict regulation of foreign goods sales, which means little to foreign buyers.

""We're a small country and we're a small market. We can't come here to find more stuff,"" said Wong Lei, who works as a newspaper vendor.

Wong said his young son works in the same job, and his family's cars aren't equipped with wipers.

According to China's Ministry of Commerce, foreign buyers account for just 0.8% of the market, while foreign buyers account for 0.4%, according to the government's website.

China"," -- The screech of clear, heavy-duty duct tape scratches on the ear even before the mass of mainland Chinese visitors comes into view.

This is the daily soundtrack from thousands of people packing up brown cardboard boxes outside Sheung Shui train station, the last rail stop in Hong Kong before mainland China.

Every day these mainlanders make a Hong Kong entrance, picking up goods on behalf of China-based agents.

Every evening, they make an exodus back across the border, taking with them sundry items that include Hong Kong-made baby formula and Huggies diapers to beauty masks and bottled Starbucks frapp","Every day thousands of mainland Chinese go to Hong Kong to buy goods. They're paid by agents to meet demand for non-Chinese, cheaper products. Residents near the border complain that they're a nuisance."
